TICKER_SYMBOL,END_DATE,industrySymbol_level_1,industrySymbol_level_2,industrySymbol_level_3,Mid_L2,Mid_L3,classifi_by_14L2,classifi_by_14L3,industryName_level_1,industryName_level_2,industryName_level_3
56,2009-03-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2009-06-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2009-09-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2009-12-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2010-03-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2010-06-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2010-09-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2010-12-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2011-03-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2011-06-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2011-09-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2011-12-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2012-03-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
56,2012-06-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
416,2010-12-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
416,2011-03-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
416,2011-06-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
416,2011-09-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
416,2011-12-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
416,2012-03-31,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
416,2012-06-30,450000,450100,450101,450100,450101,450100,450101,商业贸易,零售,百货零售
